run_id,yrs_il_single,yrs_il_double,yrs_sum_al,total_living_yrs,elapsed_time_yrs,earning_potential,earning_potential_cc,added_lc_worth_norm,man_independent_yrs,woman_independent_yrs,man_assisted_yrs,woman_assisted_yrs,roi_seed,inflation_seed,apy_roi,apy_cpi,roi_one_dollar_at_end,cpi_one_dollar_at_end,norm_one_dollar_at_end,roi_mean_shift,roi_vol_multiplier,roi_mean_reversion,inflation_mean_shift,inflation_vol_multiplier,inflation_mean_reversion,man_goes_to_al_seed,woman_goes_to_al_seed,man_goes_to_al,woman_goes_to_al,man_age_to_al,woman_age_to_al,man_age_at_death,woman_age_at_death,exp_norm_al_cc,exp_norm_cc,exp_norm_lc,exp_norm_non_taylor,exp_norm_total_cc,exp_norm_total_lc,entrance_fee_cc,entrance_fee_lc,earn_norm_cc,earn_norm_lc,cum_mo_earn_lc_norm,cum_mo_earn_cc_norm,cum_mo_earn_ss_man_norm,cum_mo_earn_ss_woman_norm,cum_mo_earn_pen_man_norm,cum_mo_earn_pen_woman_norm,cum_mo_exp_lc_norm,cum_mo_exp_cc_norm,cum_mo_exp_al_cc_norm,cum_mo_exp_non_taylor_norm,cum_mo_exp_total_lc_norm,cum_mo_exp_total_cc_norm,start_pile,final_worth_norm_cc,final_worth_norm_lc,worth_norm_lc,worth_norm_cc,man_age_at_start,woman_age_at_start,ticker,current_date,history_years,al_cum_running_avg_yrs,start_clock,man_dob,woman_dob,constant_monthly_roi,constant_monthly_cpi
1,4.595493792092483,6.77412308112206,2.878532843659877,21.02227279799648,12.334271066483227,193892888.94297776,208937540.88133106,-602431,11.369616873214543,6.77412308112206,0.8899014468750402,1.9886313967848368,813270,912756,12.529453759799969,3.190605162593063,4.288281294095819,1.4730877989745064,1.4730877989745064,0.002132715515343598,1.2294965609839985,0.27181249573271143,0.004350724237877682,1.3158535541215322,0.0013692500850740474,857404,33586,True,True,80.30281251497293,76.9954208505308,81.1926322922442,78.98314133760447,390244.7967808235,395132.3882881902,1114547.6788003258,881194.1036636656,2128860.047768791,2895741.7824639915,481000.0,900000.0,12668840.737606391,11876703.891851496,16251533.233680138,17227709.060018454,509860.0,394716.0,696078.8677203491,189362.73491708693,1337568.665613991,476999.99999999977,428534.7904767479,1080631.9999999995,3315797.537768239,2465882.452150296,6300000.0,21061826.607868157,19235735.6959119,15766260,16368691,68.93228471494966,70.22183891524124,SPY,2026-03-29 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,stochastic,stochastic
EC_CENTERPOINT_0_0,1.1999999999999993,8.8,5.494999999999999,24.295,12.662819907321847,68379227.49953797,73684949.04070583,-127350,10.0,8.8,1.645,3.8499999999999996,740264,898910,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.25,0.0,1.0,0.25,314159,271828,True,True,78.93112110447169,79.0214720357023,80.57660321567178,82.87096928752814,975200.0,437850.0,1121400.0,1086148.0,2980198.0,3107548.0,481000.0,900000.0,0.0,0.0,2032088.0,2032088.0,523640.0,405384.0,867160.0,235904.0,1121400.0,437850.0,975200.0,1086148.0,3107548.0,2980198.0,6300000.0,5351890.0,5224540.0,3192452,3319802,68.93228471494966,70.22183891524124,SPY,2026-03-29 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,0.0,0.0
EC_CENTERPOINT_0_12,1.1999999999999993,8.8,5.494999999999999,24.295,12.662819907321847,16274059.630450904,17536806.109184038,2075168,10.0,8.8,1.645,3.8499999999999996,740264,898910,0.0,12.0000000000001,1.0,4.201731408897596,4.201731408897596,0.0,1.0,0.25,0.0,1.0,0.25,314159,271828,True,True,78.93112110447169,79.0214720357023,80.57660321567178,82.87096928752814,2696635.0546400016,261376.40699652524,939297.724732281,635938.570346778,3840914.9846232813,2475236.295079059,481000.0,900000.0,0.0,0.0,1511801.4822308521,1511801.4822308521,523640.0,405384.0,458143.24598691065,124634.23624394125,1497665.7429203663,437849.99999999994,3275784.4322938616,1086148.0,3475354.101069068,5276261.223704447,6300000.0,2535540.2585264053,4336447.381161785,131741,-1943427,68.93228471494966,70.22183891524124,SPY,2026-03-29 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,0.0,0.009488792934583046
EC_CENTERPOINT_2_6,1.1999999999999993,8.8,5.494999999999999,24.295,12.662819907321847,42006716.8218078,45266126.886314735,868449,10.0,8.8,1.645,3.8499999999999996,740264,898910,2.000000000000046,6.0000000000000275,1.2850958141199718,2.0919001931327745,2.0919001931327745,0.0,1.0,0.25,0.0,1.0,0.25,314159,271828,True,True,78.93112110447169,79.0214720357023,80.57660321567178,82.87096928752814,1643013.626024307,331627.4767059561,996356.7184169147,814994.8505781328,3105621.620689752,2711351.5689950474,481000.0,900000.0,598350.7291657752,529901.9026713133,2511837.842744377,2621728.8249748107,523640.0,405384.0,611768.568167668,166426.78664263277,1297844.5589840072,437849.9999999999,1821542.8581647617,1086148.0000000002,3279632.983927231,3824210.9074955294,6300000.0,5097517.917479281,5532204.858817145,1896821,1028372,68.93228471494966,70.22183891524124,SPY,2026-03-29 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,0.0016515813019202241,0.004867550565343048
EC_CENTERPOINT_5_4,1.1999999999999993,8.8,5.494999999999999,24.295,12.662819907321847,77190943.13020091,83180388.53234057,526870,10.0,8.8,1.645,3.8499999999999996,740264,898910,5.000000000000071,4.00000000000007,1.8552301271842702,1.643446728157625,1.643446728157625,0.0,1.0,0.25,0.0,1.0,0.25,314159,271828,True,True,78.93112110447169,79.0214720357023,80.57660321567178,82.87096928752814,1384989.4797373065,362085.24780953786,1028912.147455108,892704.5872635618,2996172.4362745215,2821616.7347186697,481000.0,900000.0,2556798.8636855613,2314830.8653114876,4750925.179865114,5071419.085593281,523640.0,405384.0,682289.1398697267,185611.34883046715,1236536.3103123882,437849.9999999999,1485658.3192507878,1086147.9999999995,3219747.5586690935,3489086.7886503143,6300000.0,7882332.296942967,7831177.62119602,4839079,4312209,68.93228471494966,70.22183891524124,SPY,2026-03-29 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,0.0040741237836483535,0.0032737397821989145
EC_CENTERPOINT_6_6,1.1999999999999993,8.8,5.494999999999999,24.295,12.662819907321847,68379227.49953797,73684949.04070583,868449,10.0,8.8,1.645,3.8499999999999996,740264,898910,6.0000000000000275,6.0000000000000275,2.0919001931327745,2.0919001931327745,2.0919001931327745,0.0,1.0,0.25,0.0,1.0,0.25,314159,271828,True,True,78.93112110447169,79.0214720357023,80.57660321567178,82.87096928752814,1643013.626024307,331627.4767059561,996356.7184169147,814994.8505781328,3105621.620689752,2711351.5689950474,481000.0,900000.0,2521378.4374904456,2319645.635288815,5039567.443760967,5363438.822093925,523640.0,405384.0,611768.568167668,166426.78664263277,1297844.5589840072,437849.9999999999,1821542.8581647617,1086148.0000000002,3279632.983927231,3824210.9074955294,6300000.0,7839227.914598397,8059934.459833736,4326606,3458157,68.93228471494966,70.22183891524124,SPY,2026-03-29 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,0.004867550565343048,0.004867550565343048
REPLAY_CENTERPOINT,1.1999999999999993,8.8,5.494999999999999,24.295,9.99883638952203,78749423.6205214,84859795.56441,-947713,10.0,8.8,1.645,3.8499999999999996,740264,898910,7.999999999999963,4.000000000000048,2.1589249972727806,1.4802442849183521,1.4802442849183521,0.0068122507422182,0.8934722576907159,0.3971721322072199,-0.0048161705509744,1.0502745708323007,0.0459961806916466,314159,271828,False,False,,,78.93112110447169,79.0214720357023,0.0,362085.24780953786,1028912.147455108,892704.5872635618,1735789.8350730997,2821616.7347186697,481000.0,900000.0,4211580.65777206,3762415.8179155765,5964669.729763513,6492574.723227607,413400.0,320040.0,565379.822462743,153807.09631238863,1236536.3103123882,437849.9999999999,0.0,1086147.9999999995,3219747.5586690935,2003428.4693995279,6300000.0,10789146.253828079,9044922.17109442,6665147,7612860,68.93228471494966,70.22183891524124,SPY,2026-03-29 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,0.00643403011000343,0.0032737397821989145
REPLAY_GUTZ_1000,7.101827989612843,5.306884467305709,7.092261483183815,24.807858407408077,17.333689261244242,96103366.32642108,103560275.67656374,25213,5.306884467305709,12.408712456918552,2.1964107432458477,4.895850739937967,324873,943640,2.69263686627661,2.5365043248332997,1.5849465782636127,1.5436925019451735,1.5436925019451735,-0.0091983000776078,0.6027639046007233,0.1517062989042333,0.0024895712562442,0.791577426233915,0.2017712301852744,890953,869299,True,True,74.23834849449338,82.63003347091316,76.43414991409817,87.52541119940861,971494.2175667571,428277.27919230936,1186789.9557445962,897893.5095281099,2629842.003981779,2984683.465272706,481000.0,900000.0,1565247.9472535483,1277905.8291899518,4110834.459967163,4474823.317070291,716560.0,554736.0,962853.0313220744,261936.53016859948,1390528.7651465747,504000.0000000001,1073103.6878706613,1072375.9999999998,3362044.2458407045,3130019.7881083046,6300000.0,7644803.528961986,7048790.214126458,4043679,4018466,68.93228471494966,70.22183891524124,SPY,2026-03-29 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,stochastic,stochastic
REPLAY_GUTZ_1,4.595493792092485,6.77412308112206,2.878532843659877,21.02227279799648,12.334271066483227,193892888.94297692,208937540.88133013,-602431,11.369616873214545,6.77412308112206,0.8899014468750402,1.9886313967848368,813270,912756,12.529453759799946,3.190605162593063,4.2882812940958015,1.4730877989745064,1.4730877989745064,0.0021327155153435,1.2294965609839985,0.2718124957327114,0.0043507242378776,1.3158535541215322,0.001369250085074,857404,33586,True,True,80.30281251497293,76.9954208505308,81.1926322922442,78.98314133760447,390244.7967808235,395132.3882881902,1114547.6788003258,881194.1036636656,2128860.047768791,2895741.7824639915,481000.0,900000.0,12668840.737606324,11876703.891851429,16251533.233680056,17227709.060018376,509860.0,394716.0,696078.8677203491,189362.73491708693,1337568.665613991,476999.99999999977,428534.7904767479,1080631.9999999995,3315797.537768239,2465882.452150296,6300000.0,21061826.60786808,19235735.695911817,15766260,16368691,68.93228471494966,70.22183891524124,SPY,2026-03-29 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,stochastic,stochastic
CENTERPOINT,1.1999999999999993,8.8,5.494999999999999,24.295,12.662819907321847,110289997.9165118,118847684.79188558,526870,10.0,8.8,1.645,3.8499999999999996,740264,898910,7.999999999999963,4.00000000000007,2.650742672189845,1.643446728157625,1.643446728157625,0.0,1.0,0.25,0.0,1.0,0.25,314159,271828,True,True,78.93112110447169,79.0214720357023,80.57660321567178,82.87096928752814,1384989.4797373065,362085.24780953786,1028912.147455108,892704.5872635618,2996172.4362745215,2821616.7347186697,481000.0,900000.0,5188313.864139525,4806187.677045152,7797158.94451924,8303296.594976452,523640.0,405384.0,682289.1398697267,185611.34883046715,1236536.3103123882,437849.9999999999,1485658.3192507878,1086147.9999999995,3219747.5586690935,3489086.7886503143,6300000.0,11114209.806326136,10877411.385850146,7888602,7361732,68.93228471494966,70.22183891524124,SPY,2026-03-29 00:00:00,25,2,2026-07-01,1957-07-26,1956-04-11,0.00643403011000343,0.0032737397821989145
