date,apy_roi,apy_cpi,cpi_one_dollar,roi_one_dollar,num_il_2,num_il_1,num_al_2,num_al_1,num_il,num_non_taylor_2,num_non_taylor_1,num_non_taylor,earn_norm_lc,earn_norm_cc,mo_earn_lc_norm,cum_mo_earn_lc_norm,mo_earn_cc_norm,cum_mo_earn_cc_norm,mo_earn_inv_lc_norm,cum_mo_earn_inv_lc_norm,mo_earn_inv_cc_norm,cum_mo_earn_inv_cc_norm,mo_earn_ss_man_norm,cum_mo_earn_ss_man_norm,mo_earn_ss_woman_norm,cum_mo_earn_ss_woman_norm,mo_earn_ss_norm,cum_mo_earn_ss_norm,mo_earn_pen_man_norm,cum_mo_earn_pen_man_norm,mo_earn_pen_woman_norm,cum_mo_earn_pen_woman_norm,mo_earn_pen_norm,cum_mo_earn_pen_norm,exp_norm_total_lc,exp_norm_total_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm,mo_exp_lc_norm,cum_mo_exp_lc_norm,mo_exp_cc_norm,cum_mo_exp_cc_norm,mo_exp_al_cc_norm,cum_mo_exp_al_cc_norm,mo_exp_non_taylor_norm,cum_mo_exp_non_taylor_norm,mo_exp_total_lc_norm,cum_mo_exp_total_lc_norm,mo_exp_total_cc_norm,cum_mo_exp_total_cc_norm,final_worth_cc_norm,final_worth_lc_norm
2027-05-31,4.00000000000007,4.00000000000007,1.0366064203233052,1.0366064203233052,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,190672.10307664043,204929.865157748,30209.898205192294,339382.873203699,31720.172898865996,353847.39920701244,0.0,0.0,0.0,0.0,3445.0,37895.0,2667.0,29337.0,6112.0,67232.0,5503.53527447831,61539.62713138142,1497.1931193672808,16741.367450991056,7000.728393845591,78280.99458237247,1107917.5910174975,626008.9003307361,5223864.7495556,5690976.995019997,1157724.7593710888,9600.000000000002,105600.0,3817.85226843718,41656.00748946723,0.0,0.0,9611.999999999995,105732.0,19211.99999999998,1108395.248356706,13429.852268437196,626818.4768889957,6420623.524790365,7578348.284161454
2027-06-30,4.00000000000007,4.00000000000007,1.0400000000000005,1.0400000000000005,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,207095.69949393155,222831.15173976013,30135.655046054228,369518.52824975323,31659.869106576778,385507.2683135892,0.0,0.0,0.0,0.0,3445.0,41340.0,2667.0,32004.0,6112.0,73344.0,5485.57692307692,67025.20405445834,1492.3076923076917,18233.675143298748,6977.884615384612,85258.87919775708,1126451.143987397,638971.8091720878,5208164.240627987,5679528.190827913,1157724.7593710888,9599.999999999996,115200.0,3824.08120395006,45480.08869341729,0.0,0.0,9612.000000000005,115344.0,19211.999999999975,1127607.248356706,13436.081203950065,640254.5580929458,6420623.524790365,7578348.284161454
2027-07-31,4.00000000000007,4.00000000000007,1.0434046893734874,1.0434046893734874,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,223414.4731121549,240636.66729142595,30061.654146604596,399580.1823963578,31599.741763648097,417107.0100772373,0.0,0.0,0.0,0.0,3445.0,44785.0,2667.0,34671.0,6112.0,79456.0,5467.67717080663,72492.88122526498,1487.4382066769306,19721.11334997568,6955.11537748356,92213.99457524063,1144924.220910474,651898.6583962596,5192514.9633619245,5668110.505642654,1157724.7593710888,9600.000000000002,124800.0,3830.320302149941,49310.40899556723,0.0,0.0,9612.000000000007,124956.0,19212.000000000036,1146819.248356706,13442.320302149983,653696.8783950958,6420623.524790365,7578348.284161454
2027-08-31,4.00000000000007,4.00000000000007,1.0468205248140223,1.0468205248140223,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,239628.9331459701,258346.82586221796,29987.894716336174,429568.077112694,31539.790261154165,448646.8003383915,0.0,0.0,0.0,0.0,3445.0,48230.0,2667.0,37338.0,6112.0,85568.0,5449.835826455111,77942.71705172009,1482.584610457201,21203.69796043288,6932.420436912312,99146.41501215295,1163337.019123539,664789.5758471196,5176916.750585559,5656723.827741853,1157724.7593710888,9599.999999999995,134400.0,3836.569579617539,53146.978575184774,0.0,0.0,9612.0,134568.0,19212.000000000062,1166031.248356706,13448.569579617546,667145.4479747134,6420623.524790365,7578348.284161454
2027-09-30,4.00000000000007,4.00000000000007,1.0502475428109284,1.0502475428109284,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,255739.5866029488,275962.03978598485,29914.375967321117,459482.4530800151,31480.013992102024,480126.8143304935,0.0,0.0,0.0,0.0,3445.0,51675.0,2667.0,40005.0,6112.0,91680.0,5432.0526994339725,83374.76975115406,1477.7468518004428,22681.444812233323,6909.799551234415,106056.21456338737,1181689.7353194822,677644.6889679809,5161369.43567253,5645368.045751083,1157724.7593710888,9599.999999999989,144000.0,3842.8290529606256,56989.8076281454,0.0,0.0,9612.000000000004,144180.0,19211.99999999977,1185243.2483567058,13454.829052960624,680600.277027674,6420623.524790365,7578348.284161454
2027-10-31,4.00000000000007,4.00000000000007,1.053685779972985,1.053685779972985,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,271746.9382925565,293482.7196876852,29841.097114202734,489323.5501942178,31420.41235142512,511547.2266819186,0.0,0.0,0.0,0.0,3445.0,55120.0,2667.0,42672.0,6112.0,97792.0,5414.327599776726,88789.09735093078,1472.924879027779,24154.3696912611,6887.252478804505,112943.46704219189,1199982.5655493727,690464.1248029375,5145872.852540189,5634043.048642705,1157724.7593710888,9599.99999999999,153600.0,3849.0987388140597,60838.906366959454,0.0,0.0,9612.000000000007,153792.0,19212.0,1204455.2483567058,13461.098738814046,694061.375766488,6420623.524790365,7578348.284161454
2027-11-30,4.00000000000007,4.00000000000007,1.05713527302882,1.05713527302882,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,287651.490835099,310909.27449009527,29768.057374186898,519091.6075684047,31360.98473597707,542908.2114178956,0.0,0.0,0.0,0.0,3445.0,58565.0,2667.0,45339.0,6112.0,103904.0,5396.660338136753,94185.75768906754,1468.1186406289642,25622.488331890065,6864.7789787657175,119808.24602095761,1218215.7052245543,703248.0099981927,5130426.835647825,5622748.725734713,1157724.7593710888,9599.999999999995,163200.0,3855.3786538398435,64694.285020799296,0.0,0.0,9611.999999999987,163404.0,19211.99999999998,1223667.2483567058,13467.378653839769,707528.7544203278,6420623.524790365,7578348.284161454
2027-12-31,4.00000000000007,4.00000000000007,1.0605960588273,1.0605960588273,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,303453.74467063474,328242.11142049107,29695.25596703385,548786.8635354385,31301.730544525235,574209.9419624208,0.0,0.0,0.0,0.0,3445.0,62010.0,2667.0,48006.0,6112.0,110016.0,5379.050725785284,99564.80841485283,1463.3280852618336,27085.8164171519,6842.378811047118,126650.62483200473,1236389.349118732,715996.4708033854,5115031.219994895,5611484.966689564,1157724.7593710888,9599.999999999987,172800.0,3861.6688147271607,68555.95383552645,0.0,0.0,9612.000000000007,173016.0,19212.00000000016,1242879.248356706,13473.668814727209,721002.4232350551,6420623.524790365,7578348.284161454
2028-01-31,4.00000000000007,4.00000000000007,1.0640681743379263,1.0640681743379263,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,319154.198067851,345481.6360173048,29622.692115049795,578409.5556504884,31242.64917774422,605452.591140165,0.0,0.0,0.0,0.0,3445.0,65455.0,2667.0,50673.0,6112.0,116128.0,5361.498574609383,104926.30698946222,1458.553161751755,28544.369578903654,6820.051736361138,133470.67656836586,1254503.691370053,728709.6330729111,5099685.841119265,5600251.661513047,1157724.7593710888,9600.0,182400.0,3867.969238192443,72423.92307371889,0.0,0.0,9612.000000000011,182628.0,19211.999999999847,1262091.2483567058,13479.969238192509,734482.3924732476,6420623.524790365,7578348.284161454
2028-02-29,4.00000000000007,4.00000000000007,1.0675516566512282,1.0675516566512282,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,334753.3471329064,362628.25213675626,29550.365043078556,607959.9206935669,31183.740038209944,636636.3311783749,0.0,0.0,0.0,0.0,3445.0,68900.0,2667.0,53340.0,6112.0,122240.0,5344.003697109935,110270.31068657215,1453.7938190910816,29998.163397994736,6797.797516201017,140268.47408456687,1272558.9254831811,741387.6222672387,5084390.535095444,5589048.700553115,1157724.7593710888,9599.999999999995,192000.0,3874.2799409793774,76298.20301469827,0.0,0.0,9612.000000000013,192240.0,19212.000000000196,1281303.248356706,13486.279940979404,747968.672414227,6420623.524790365,7578348.284161454
