date,apy_roi,apy_cpi,earn_norm_lc,earn_norm_cc,mo_earn_lc_norm,cum_mo_earn_lc_norm,mo_earn_cc_norm,cum_mo_earn_cc_norm,mo_earn_ss_man_norm,cum_mo_earn_ss_man_norm,mo_earn_ss_woman_norm,cum_mo_earn_ss_woman_norm,mo_earn_pen_man_norm,cum_mo_earn_pen_man_norm,mo_earn_pen_woman_norm,cum_mo_earn_pen_woman_norm,exp_norm_total_lc,exp_norm_total_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm
2026-07-31,-0.3069858209373,3.2604817502947636,-1609.6382049795702,-1609.6382049795702,11739.98457415751,11739.98457415751,11739.98457415751,11739.98457415751,3445.0,3445.0,2667.0,2667.0,5689.766839599979,5689.766839599979,1547.8559395371021,1547.8559395371021,919224.8166818441,494362.0,5364746.778038661,5788490.805201204,-1034855
2026-08-31,22.535761382343612,-2.7170613628206053,90228.67412793597,97482.97809761965,105208.26774097937,116948.25231513688,112462.57171066305,124202.55628482056,3445.0,6890.0,2667.0,5334.0,5702.842967684929,11392.609807284909,1551.4131964674864,3099.2691360045883,938482.7695113654,507754.70832749334,5465399.759351064,5895969.398704961,-1034855
2026-09-30,73.06320706101795,6.376343318635236,344057.0962232121,371307.50610720465,267620.9876803744,384569.2399955113,287654.36505979963,411856.9213446202,3445.0,10335.0,2667.0,8001.0,5673.542663531424,17066.152470816334,1543.442281121958,4642.711417126547,957523.4879974782,520979.2468725706,5716022.496739604,6150256.374327205,-1034855
2026-10-31,-12.92902196263327,3.2584011690489634,277745.94932983594,299955.87430655566,-52083.31507792672,332485.9249175846,-57051.0831535872,354805.838191033,3445.0,13780.0,2667.0,10668.0,5658.402999641378,22724.55547045771,1539.3236556430184,6182.035072769565,976621.2692214964,534234.5635538537,5605227.566971193,6044191.986372358,-1034855
2026-11-30,74.55418111877799,5.691063394095175,541582.6767139237,584452.4415582317,278391.4876689272,610877.4125865118,299153.5352066771,653959.37339771,3445.0,17225.0,2667.0,13335.0,5632.363641650092,28356.919112107804,1532.239854836274,7714.2749276058385,995542.1266782995,547351.5838558759,5871118.684773486,6313974.497683796,-1034855
2026-12-31,24.102156566014155,3.84163587426698,646154.2078832794,696905.4250271908,119524.32235238526,730401.7349388971,127540.23449823663,781499.6078959467,3445.0,20670.0,2667.0,16002.0,5614.697886962142,33971.61699906994,1527.4340263918043,9241.708953997642,1014531.0731034762,560505.4739258125,5957498.060682344,6404891.480129445,-1034855
2027-01-31,147.82004925554898,3.8851352201340505,1110647.7147723658,1196274.1881050074,479774.11460193817,1210175.8495408352,514810.31628325727,1296309.924179204,3445.0,24115.0,2667.0,18669.0,5596.892199374545,39568.50919844449,1522.5901303118833,10764.299084309525,1033471.8201080053,573615.3411025107,6464178.125512779,6916094.697688814,-1034855
2027-02-28,-63.21617131545402,1.4597315509280895,593028.5189172205,642458.132144133,-503055.8420084699,707120.0075323654,-539149.3577161318,757160.5664630722,3445.0,27560.0,2667.0,21336.0,5590.1371920400225,45158.64639048451,1520.7524841448053,12285.05156845433,1052620.5341026993,586865.5616924111,5839608.986991255,6296927.935468988,-1034855
2027-03-31,23.595743372707247,1.2884514637071742,696292.0849714089,753805.4213932377,117111.20938851705,824231.2169208825,125247.63851024442,882408.2049733166,3445.0,31005.0,2667.0,24003.0,5584.176527117247,50742.822917601756,1519.1309325304062,13804.182500984736,1071772.7717632826,600114.6791068087,5936368.640938721,6399152.932519319,-1034855
2027-04-30,-48.13961100098061,0.4931171057654282,380037.5835158942,412895.1938624315,-302756.73890142917,521474.4780194533,-327388.8938806717,555019.3110926449,3445.0,34450.0,2667.0,26670.0,5581.887924691045,56324.7108422928,1518.5083363927258,15322.690837377462,1091019.3354872116,613427.86149829,5542617.94902828,6011167.5370304445,-1034855
2027-05-31,32.396140727605705,-0.17435849129406877,511257.3730318039,555207.8582621982,144377.9472337563,665852.4252532097,155466.043433748,710485.3545263929,3445.0,37895.0,2667.0,29337.0,5582.699732898687,61907.41057519149,1518.7291823766454,16841.420019754107,1110363.3734447362,626809.121294677,5680631.368334115,6155203.357221168,-1034855
2027-06-30,137.08296791777585,0.46968513880532026,934595.2072897048,1013911.7490727322,436748.09157055384,1102600.5168237635,472131.30690842564,1182616.6614348185,3445.0,41340.0,2667.0,32004.0,5580.520181404174,67487.93075659567,1518.1362526799787,18359.556272434085,1129599.3962863882,640114.1957025018,6163981.021020471,6644323.882604945,-1034855
2027-07-31,12.34390873033302,4.089941988275969,991356.8479245789,1075075.0455190507,73065.36588591052,1175665.882709674,77731.53106057682,1260348.1924953954,3445.0,44785.0,2667.0,34671.0,5561.909941894874,73049.84069849055,1513.0734846311732,19872.629757065257,1148168.0505075618,652945.5725356471,6194751.5046203295,6679464.826703367,-1034855
2027-08-31,-55.30162207823085,3.8242106428240774,587471.8604077124,639568.5523227516,-387624.55300863076,788041.3297010433,-418984.64598278404,841363.5465126114,3445.0,48230.0,2667.0,37338.0,5544.542703155788,78594.38340164634,1508.348865082872,21380.97862214813,1166742.6526000341,665770.6670769914,5682445.257563095,6171632.561687763,-1034855
2027-09-30,14.666155977286554,3.176849164972384,650949.888736746,708507.2798008765,78153.63410090281,866194.9638019461,83749.93049381868,925113.4770064302,3445.0,51675.0,2667.0,40005.0,5530.11137016362,84124.49477180996,1504.4229354064748,22885.401557554604,1185410.561991658,678651.7460765534,5726357.8431930905,6220272.077880949,-1034855
2027-10-31,52.99905456616267,3.9252423665673053,854774.9640701165,929908.3123821695,219034.28148902374,1085229.24529097,236794.61391839714,1161908.0909248274,3445.0,55120.0,2667.0,42672.0,5512.396611581512,89636.89138339147,1499.6037758412806,24385.005333395886,1203874.1020078633,691380.602776046,5936180.224962058,6434528.09408917,-1034855
2027-11-30,156.2641762784503,7.824428881024836,1330649.1122539134,1445711.4230764771,494303.5965918616,1579532.8418828316,534702.7566589569,1696610.8475837843,3445.0,58565.0,2667.0,45339.0,5477.899075188951,95114.79045858042,1490.2189946876867,25875.224328083572,1221380.7666506013,703426.0043866436,6455976.025411981,6957251.508535566,-1034855
2027-12-31,126.41653336864489,2.0748942889188493,1782567.2085717567,1932698.704722355,467261.6043822365,2046794.4462650681,502527.5371775278,2199138.384761312,3445.0,62010.0,2667.0,48006.0,5468.532300254333,100583.32275883475,1487.6708378606002,27362.895165944174,1240247.9680206387,716407.6734798307,6963120.059033202,7469593.137764468,-1034855
2028-01-31,-48.11269051432364,6.826814244709323,1404331.687223692,1526839.2876862276,-355422.5581141804,1691371.8881508878,-382222.51465772913,1816915.870103583,3445.0,65455.0,2667.0,50673.0,5438.520357785587,106021.84311662034,1479.5063269558689,28842.401492900044,1257824.2894033608,728477.7287375734,6473355.810729127,6983130.948066634,-1034855
2028-02-29,2.258924422379205,3.758526737650736,1412044.733377149,1535123.1501026577,25033.073540889614,1716404.9616917775,25979.982944290754,1842895.8530478738,3445.0,68900.0,2667.0,53340.0,5421.824330821388,111443.66744744172,1474.9643052471154,30317.36579814716,1276184.5172422936,741079.9826007172,6448306.760871047,6962613.6433853945,-1034855
2028-03-31,35.04952155210104,5.342085609156499,1568725.9130489833,1704255.7279432118,175770.7621213854,1892175.723813163,188754.78354717832,2031650.6365950522,3445.0,72345.0,2667.0,56007.0,5398.361323974288,116842.02877141601,1468.5813803344602,31785.94717848162,1294036.6136032436,753316.4834992681,6594803.75822822,7113003.010986924,-1034855
2028-04-30,22.124978152331167,2.8409019326335994,1675574.3185615595,1819471.3539033607,123469.12112753293,2015644.844940696,132152.35525997635,2163802.9918550286,3445.0,75790.0,2667.0,58674.0,5385.774012056362,122227.80278347238,1465.1571019652015,33251.10428044682,1312609.385650421,766043.5255347141,6691314.36857968,7214434.8844450135,-1034855
