run_id,yrs_il_single,yrs_il_double,yrs_sum_al,total_living_yrs,elapsed_time_yrs,earning_potential,earning_potential_cc,added_lc_worth_norm,man_independent_yrs,woman_independent_yrs,man_assisted_yrs,woman_assisted_yrs,roi_seed,inflation_seed,apy_roi,apy_cpi,roi_one_dollar_at_end,cpi_one_dollar_at_end,norm_one_dollar_at_end,roi_mean_shift,roi_vol_multiplier,roi_mean_reversion,inflation_mean_shift,inflation_vol_multiplier,inflation_mean_reversion,man_goes_to_al_seed,woman_goes_to_al_seed,man_goes_to_al,woman_goes_to_al,man_age_to_al,woman_age_to_al,man_age_at_death,woman_age_at_death,exp_norm_al_cc,exp_norm_al_lc,exp_norm_cc,exp_norm_lc,exp_norm_non_taylor,exp_norm_total_cc,exp_norm_total_lc,entrance_fee_cc,entrance_fee_lc,earn_norm_cc,earn_norm_lc,cum_mo_earn_lc_norm,cum_mo_earn_cc_norm,cum_mo_earn_inv_lc_norm,cum_mo_earn_inv_cc_norm,cum_mo_earn_ss_man_norm,cum_mo_earn_ss_woman_norm,cum_mo_earn_ss_norm,cum_mo_earn_pen_man_norm,cum_mo_earn_pen_woman_norm,cum_mo_earn_pen_norm,cum_mo_exp_lc_norm,cum_mo_exp_cc_norm,cum_mo_exp_al_cc_norm,cum_mo_exp_al_lc_norm,cum_mo_exp_non_taylor_norm,cum_mo_exp_total_lc_norm,cum_mo_exp_total_cc_norm,start_pile,worth_norm_lc,worth_norm_cc,man_age_at_start,woman_age_at_start,ticker,current_date,history_years,al_cum_running_avg_yrs,start_clock,man_dob,woman_dob,constant_monthly_roi,constant_monthly_cpi
11,11.173873404859675,2.754107013556364,5.600720545047478,22.28280797701988,16.996926699384655,378793055.9903441,408184591.260706,-1568100.1694898754,2.754107013556364,13.92798041841604,2.5656864271316886,3.035034117915789,862966,392617,11.137057079651402,2.2456644116690017,6.0200648756474076,1.458691068680648,1.458691068680648,0.0017596431538599473,0.9166391867704914,0.006085407514717035,0.0006775812778951349,1.26035502974954,0.04604966508319485,994512,456246,True,True,76.6860373587411,89.15172796155979,79.25145622428934,92.18806683231004,716610.8419209503,514077.5312166719,522664.8456427149,1130437.3051860882,899601.3361167317,2506704.5580219743,3282582.078997066,481000.0,900000.0,19242864.445089187,18235700.390095502,24555065.656791177,25215029.44252054,16381981.747905297,17364275.836376194,702780.0,544068.0,1246848.0,960126.7391184326,261194.86399856393,1221321.6031169954,1328444.348968932,597806.3507769713,815511.1570950107,572125.985889408,1053124.0000000002,3857740.1608648757,2949603.7771043633,6300000.0,26997325.495926302,28565425.665416177,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
12,3.13426682586514,8.32324566690146,5.766942754867645,25.547700914535703,11.50194733635872,133076510.1229974,143402261.55661517,-1509543.6324536577,8.32324566690146,11.4575124927666,1.8101563812132413,3.9567863736544036,226698,140780,10.62622946646088,3.5335352169421963,3.1942453336939565,1.490843308841211,1.490843308841211,0.00070746584148286,0.8883420499097499,0.12716546356629815,0.0030780705340131666,1.4519363536886227,0.19830892656360263,773971,24395,False,False,,,82.25494021095574,86.68213584125616,0.0,0.0,468196.9995330936,1039601.5909488697,946919.9386874632,1896116.9382205568,2886521.5296363328,481000.0,900000.0,7714011.979631054,6895385.2085621795,9900705.011892064,10279713.022357855,5258311.60112529,5917658.611827703,475410.0,368046.0,843456.0,644166.1717019031,175240.2977180285,819406.4694199308,1275136.8844443972,560960.1275494981,0.0,0.0,1160284.0,3329747.8023051806,2199212.1803173143,6300000.0,12870957.209586883,14380500.84204054,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
13,3.5285712161682206,9.25586175325779,5.600726237394209,27.64102096007801,15.586904590785574,203301325.35942438,219076002.27157232,-1279056.3232997824,9.25586175325779,12.78443296942601,2.8717471638459418,2.7289790735482673,668030,894858,9.49036253012332,3.4663706291830243,4.107784743659841,1.7006741266189636,1.7006741266189636,-0.002442877190673047,1.0467337307559843,0.45153363671763264,0.0029691668843653254,1.3111079929859013,0.2728651610236623,634355,997268,True,True,83.18856650033881,88.0072828326386,86.06063095066976,90.73697611860614,911015.1336536173,623875.7626259364,453321.2312701539,1026766.5036495094,1029179.5090782348,2757133.113928242,3417034.2562864595,481000.0,900000.0,9727116.364531944,9013439.558832886,13902852.687061569,14335625.87625864,6989850.444652508,7561124.8858233,644215.0,498729.0,1142944.0,819475.604422912,222931.8383986608,1042407.4428215723,1315146.2472679121,565423.4338156029,994536.5236238951,673581.469443735,1297596.0000000002,4183134.784366796,3336851.6502640843,6300000.0,16019717.902694775,17298774.225994557,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
14,0.19624783079037478,6.336418635662648,5.494874393715252,18.363959495830922,6.587404258814349,44363367.166433655,47805635.84101434,-425976.8848450426,6.336418635662648,6.532666466453023,2.7805315146198666,2.7143428790953856,262969,992473,5.709905635818191,2.2224066672802856,1.4413239189724647,1.1557001466406212,1.1557001466406212,-0.0009022382775786247,1.3799594932455417,0.2228750091720534,-0.0016429680919596052,0.9847114927655836,0.024211916001851796,286354,503068,False,False,,,80.26721972388208,81.75664113568382,0.0,0.0,287279.31613840593,701540.1774171296,694555.8278525454,1462835.1439909511,2296096.0052696746,481000.0,900000.0,2029428.3595055174,1787571.1176391167,3618737.4327477864,3176272.7670238875,1102562.8788507355,1279978.590505179,272155.0,210693.0,482848.0,414242.7475816593,112691.4538556942,526934.2014373534,755191.5709267744,304461.8396450316,0.0,0.0,737376.0000000001,2389800.595648679,1521359.0450797374,6300000.0,7528936.837099108,7954913.72194415,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
15,5.9056559468424705,5.1090285057836535,6.090622813852001,22.214335772261776,14.083793643948884,192928628.14985693,207898460.59333655,-1470178.1147747077,11.014684452626124,5.1090285057836535,3.012128184707108,3.0784946291448922,170918,730053,10.120970703409027,3.0774169986967914,3.887492848956271,1.5324500933386513,1.5324500933386513,0.008080986193485013,0.6695314780684418,0.21674290419293982,0.0018787873048995221,0.5155143062915538,0.37325521737460543,848766,924245,True,False,84.94630279882544,,87.95800050651279,80.3329294920498,506580.9384188297,410330.56011925195,447363.34737964516,980073.6460609339,811135.4297976336,2149476.3958481066,2964045.070048406,481000.0,900000.0,10181110.552382695,9324174.146531569,13450116.037328746,13946059.539539522,7496380.343588684,8234398.888871021,582205.0,450723.0,1032928.0,778438.1540882785,211767.92552936156,990206.0796176391,1181167.260843687,524823.9854195284,526852.7405352354,426750.71983354044,976264.0000000001,3482019.7421505507,2507785.129586618,6300000.0,16268096.295178195,17738274.409952905,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
16,10.41969938764207,0.6807591267670209,5.302977722218166,17.084195363394276,11.167922681506122,84862013.4440868,91446677.07984094,-981228.8059588135,11.10045851440909,0.6807591267670209,4.081445841070792,1.2215318811473748,854687,873007,7.0601245899238885,3.8347981435454592,2.142116795662548,1.5222850177621197,1.5222850177621197,0.0008355928996662283,1.0438286194785895,0.23032688383108313,0.004036156872973891,1.4723557194944454,0.28742072050282413,170064,690337,False,False,,,85.03117791604208,75.90573386174938,0.0,0.0,432920.0294005513,888862.9182156946,619365.8618211503,1533285.8912217016,2408228.7800368452,481000.0,900000.0,4016877.7048348244,3584179.5705205183,6473618.315365963,6458730.2025736645,1863790.4898231172,2130892.477897577,461630.0,357378.0,819008.0,623479.4389003603,169612.63613906372,793092.0750394238,1105692.9738536472,526379.0096904719,0.0,0.0,763395.9999999998,2764369.7832310773,1768252.8644799655,6300000.0,10009248.532134885,10990477.338093698,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
17,3.3695113332510784,1.2254071597210263,4.65125620152357,10.471581854216701,7.0829654270792695,59865074.0527321,64510160.354231134,-53739.65060704248,4.594918492972105,1.2254071597210263,2.4585677265588894,2.192688474964681,676334,624162,8.836575723260287,2.1661245815460806,1.8217494941417516,1.1639223703485586,1.1639223703485586,-0.0023508091643259952,0.8160888934389781,0.3636597741174661,-0.0036682276892591142,1.3912782123555112,0.07947837073432971,498227,959676,True,True,78.52591086743739,76.4505773561401,80.98455135971307,78.64364086873789,559159.1398057925,384107.02195565385,148704.56406172723,357392.4786645331,339330.2774885113,1506038.866069497,1949200.9441174811,481000.0,900000.0,3520059.064863617,3236942.6808992885,5017280.244753232,4607783.739896575,2535049.2851494257,2754154.3837354374,292825.0,226695.0,519520.0,449036.72839282354,122156.88036207928,571193.608754903,389206.3995195309,156699.88594791308,590885.8642849155,402975.3545787152,359739.99999999994,2051148.810037278,1587912.6545735786,6300000.0,9266131.434715955,9319871.085322997,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
18,5.933678185104873,5.589476553211328,6.567561677905326,23.680192969432852,15.915453431624195,159388426.3187638,171755787.5460901,-965306.8332916796,5.589476553211328,11.523154738316201,2.212822357867584,4.354739320037742,250392,956977,6.328883768297144,2.2817683909593933,2.6558230603148734,1.4320399401806168,1.4320399401806168,-0.0029206751172059188,0.936428343931718,0.09057129382465795,-0.00044152665473231115,0.8537773959366213,0.2780765702229363,156709,652888,True,True,79.5225090179812,86.74784560942388,81.73473787962791,91.1038556575426,918324.5405357418,677816.5472656385,432493.57719249255,987065.3046085607,891397.8909426845,2616376.2901860797,3304685.383439734,481000.0,900000.0,5681536.978662797,5059214.051567961,8651734.63033311,8805264.263211302,3628504.4099239856,4121546.9872860606,657995.0,509397.0,1167392.0,904722.5773220129,246122.6012276537,1150845.1785496664,1156287.6225413324,492826.1398887169,995608.309054691,725743.794372132,1033935.9999999993,3814206.5796797858,3002429.3792662974,6300000.0,11137528.050653325,12102834.883945005,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
19,1.344226380850568,6.198898205885388,6.911045318043689,20.653068110665032,12.58615851112617,109635472.56411463,118142373.12047833,-885824.5624904297,6.198898205885388,7.5431245867359555,1.9210447780096849,4.990000540034004,320740,80582,8.356290070829564,4.316021932311154,2.745244940316748,1.7018330899484522,1.7018330899484522,0.0029549782054091468,0.6297858427225699,0.23317773352642113,0.0034351766387265585,1.0120478719307933,0.40196636504164485,162119,440448,False,True,,82.76692882126258,80.13032437353264,87.75813329500264,862390.9320841449,698536.6549881574,310390.1474572056,709070.9529606669,669271.7014424176,2157658.0279894117,2744175.909618509,481000.0,900000.0,5768136.565714256,5314132.849083349,9773535.336376278,9926800.539418545,3182417.676563579,3509762.4305027043,520195.0,402717.0,922912.0,656319.9467958949,178546.6358329937,834866.5826288888,857256.4403189102,364926.8312247778,935260.6323689256,757561.1122188298,799159.9999999999,3311677.656245883,2579118.2967977207,6300000.0,12761857.680130394,13647682.242620824,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
20,10.257358906360881,2.257387025824869,7.566133702523489,22.338266660534106,15.830578314407552,247963978.63450667,267204146.6063323,-888561.3140441608,2.257387025824869,12.51474593218575,4.2835800597392915,3.282553642784198,38029,734008,8.318642720884139,1.272797295264172,3.5437859618031946,1.2217136542835336,1.2217136542835336,-0.002018669963506116,0.6178787970705927,0.2590154736787695,-0.004047933611208407,1.2227632552279049,0.26690054286209025,886650,287100,True,True,76.1877382834692,87.73896794595372,80.47256274940621,91.02171844733293,898624.7501015876,600513.0701294944,434349.624233594,993442.4783770646,846953.6584544316,2639177.240541358,3309667.521586756,481000.0,900000.0,10660416.607841017,9888954.60683272,13453535.052208554,13613298.518198662,8980906.990465784,9694152.440347113,654550.0,506730.0,1161280.0,975618.5566747503,265409.2900892571,1241027.846764007,1112851.671078215,473564.6937281671,967772.6868288699,639105.4906259032,935040.0000000001,3585231.6729601496,2856433.8249060954,6300000.0,16168303.379248405,17056864.693292566,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
