date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2027-08-31,30.4626188224569,2.87132963215717,1211501.45365653,1223006.4999801,1189827.92604098,1201127.14930222,272837.712180654,188859.90000054,267956.698070713,185481.23277255,6676163.52056062,6760141.33274073,6556728.24131099,6639203.70660915,0,53002.8906602324,136980.702840346,135857.009340308
2027-09-30,-7.6716152429662,2.92047009610139,1167241.99799616,1178190.31555729,1143613.59681025,1154340.28831604,292647.504647594,202497.974627081,286723.460912241,198398.821759006,6610285.50178419,6700435.0318047,6476473.93738048,6564798.57653371,0,56830.3700682198,146979.900088733,145667.604558861
2027-10-31,53.2599404908837,-1.25591073143205,1406673.12213016,1420886.74544959,1379650.243054,1393590.81571358,312425.918218953,216121.692922738,306424.063434449,211969.889435698,6840538.19641618,6936842.4217124,6709128.11002903,6803582.28402778,0,60653.8204206159,156958.04571683,155467.872502123
2027-11-30,28.1965750211739,4.10790925166915,1549744.86070912,1565972.7133991,1514882.81953443,1530745.62112278,332304.327141354,229791.193006685,324829.027542665,224621.961454264,6970266.0001175,7072779.13425217,6813467.48027376,6913674.54636216,0,64490.1192766853,167003.253411354,165301.07373
2027-12-31,51.0956371855425,-0.116317022281498,1793659.49590549,1813474.65124862,1753480.56855648,1772851.85387368,352179.833994629,243459.367387437,344290.818272214,238005.747981397,7205933.65005899,7314654.11666618,7044516.90107822,7150801.97136904,0,68326.0460786474,177046.51268584,175133.321308789
2028-01-31,-2.23256408576453,2.15117052043772,1780113.90049912,1799724.68489955,1737154.59330271,1756292.11264342,372108.452840628,257151.805602303,363128.397501764,250945.987306134,7171797.41395446,7286754.06119278,6998721.15845747,7110903.5686531,0,72168.7824433945,187125.42968172,184983.023158909
2028-02-29,27.7215796743518,6.13113421584575,1927849.4347537,1949828.27010643,1872018.87300663,1893361.20080739,392186.241746533,270912.310113567,380828.51961769,263066.683694216,7307120.41222481,7428394.34385777,7095506.04545239,7213267.88137587,0,76030.6213834663,197304.553016432,194881.688730101
2028-03-31,25.3608601006348,0.890684764559424,2066787.24305339,2091071.98460644,2005450.56136313,2029014.59716015,412286.397300107,284682.986725464,400050.846881739,276234.362031219,7433415.10602125,7561018.51659589,7212811.35604067,7336627.84089119,0,79895.3150890953,207498.725663738,204787.671636369
2028-04-30,77.992590761198,4.26553202746955,2432664.72258378,2463230.18619723,2352267.53592886,2381822.84090413,432492.187751694,298501.681039217,418198.744507063,288636.492818035,7799379.79713711,7933370.30384959,7541617.9331524,7671180.18484143,0,83773.4847999598,217763.991512437,214728.196239257
2028-05-31,26.3566109051067,2.71594720943997,2586204.06048198,2619407.2740474,2495154.39415469,2527188.65838533,452766.099147266,312351.268358188,436826.056796555,301354.657844934,7941159.3062823,8081574.13707137,7661583.56972806,7797054.96867968,0,87660.3245280052,228075.155317083,224690.943830183
2028-06-30,40.5477246464458,0.690745166371642,2814677.99154428,2851921.05963629,2714027.36582373,2749938.65169465,473057.560461055,326208.802661863,456141.401807993,314543.837716635,8162368.24314149,8309217.00094068,7870488.50645338,8012086.07054474,0,91549.3945503657,238398.152349557,234659.408111497
2028-07-31,-21.9393467453482,3.68265611341496,2647930.73207306,2682173.85858067,2545559.67350586,2578478.93414841,493441.424411172,340108.16271624,474364.595721498,326959.317007066,7965573.12889919,8118906.39059412,7657617.88542443,7805023.16413886,0,95450.2028278626,248783.464522794,244657.959888377
2028-08-31,166.981474887924,1.94673098141389,3327200.85507881,3374519.58855744,3193433.71311355,3238850.0391288,513874.764536389,354029.872643394,493214.888089441,339796.417466938,8666488.49314882,8826333.38504182,8318060.05522216,8471478.52584466,0,99357.2835213837,259202.175414378,254672.589122011
2028-09-30,47.2329246066086,2.05684952412095,3611135.68334599,3663691.31663299,3460077.66534552,3510434.83518632,534360.494277081,367975.222912303,512007.571473455,352582.390097195,8946773.3542953,9113158.62566007,8572519.38853263,8731944.56990889,0,103270.998796672,269656.27016145,264704.22411563
2028-10-31,-38.3567708480818,-4.14958162682686,3257601.19552201,3303582.06387823,3132375.2829269,3176588.59415865,554737.144122461,381871.408152882,533412.414373886,367191.834838119,8551746.79811956,8724612.53408914,8223007.87865055,8389228.45818632,0,107170.91607344,280036.652043019,274700.492079442
2028-11-30,-13.9680665006348,3.74246501190174,3151051.83638408,3194878.90694679,3020659.04045288,3062672.51524983,575208.109504643,395810.205638431,551405.583384768,379431.294071389,8417814.79945947,8597212.70332568,8069479.55639596,8241453.84570934,0,111082.792332294,290480.696198506,284727.413306137
2028-12-31,-3.99990112796226,0.493676056360526,3122465.20952351,3165683.0506057,2992027.21505579,3033439.67220646,595691.764533048,409754.724565166,570807.311425405,392637.61327344,8366791.12943054,8552728.16939842,8017276.44093227,8195446.13908424,0,114996.27429422,300933.314262102,294758.450270946
