date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2026-07-31,4.00000000000007,5.000000000000071,18660.316758533732,18660.316758533732,18584.600794427544,18584.600794427544,19309.827860292964,13416.438441997108,19231.476444714877,13361.999999999998,5699350.488898241,5705243.878316537,5676224.846250795,5682094.3226955095,2217919,0.0,3765.2779641886814,9658.667382484537,9651.160477808427
2026-08-31,4.00000000000007,5.000000000000071,37318.507186734656,37337.80061012532,37016.274999945264,37035.41217127812,38718.00165278037,26887.537114942614,38404.43535043388,26669.782447024958,5698663.720885608,5710494.185423446,5652511.831971015,5664246.484874424,2217919,0.0,7545.896136883312,19376.360674721065,19341.640978059302
2026-09-30,4.00000000000007,5.000000000000071,55974.449315171485,56032.472600961555,55295.84573337944,55353.16557661588,58225.04229039498,40413.51871138344,57519.153751397855,39923.567333819265,5697939.375038728,5715750.89861774,5628860.677239246,5646456.263656824,2217919,0.0,11341.91701599221,29153.440595003747,29071.601695391233
2026-10-31,4.00000000000007,5.000000000000071,74628.0201237933,74744.35370290556,73424.13185901208,73538.58876190458,77831.47354313883,53994.60683114352,76575.90763808352,53123.57376048639,5697177.128231872,5721013.994943867,5605271.103180141,5628723.437057739,2217919,0.0,15153.403354047912,38990.27006604321,38841.20347709561
2026-11-30,4.00000000000007,5.000000000000071,93279.09553471967,93473.46481266996,91401.94800924655,91592.40580191667,97537.82205421376,67631.02598502014,95574.97196160158,66270.01993811078,5696376.655122969,5726283.451192163,5581742.83196002,5611047.783983511,2217919,0.0,18980.41815924454,48887.214228438155,48650.6078257756
2026-12-31,4.00000000000007,5.000000000000071,111927.55040498484,112219.82675098495,109230.10460517528,109515.33711255791,117344.61735624526,81323.00159849536,114516.62063807741,79363.12319236527,5695537.628139531,5731559.243897282,5558275.5867824815,5593429.084228193,2217919,0.0,22823.02469647939,58844.64045422928,58499.97690201597
2027-01-31,4.00000000000007,5.000000000000071,130573.25851923598,130983.46026176133,126909.40787704941,127308.099468608,137252.39188759984,95070.76001546258,133401.12655301415,92403.09996710357,5694659.7174644945,5736841.349336632,5534869.091884046,5575867.118469956,2217919,0.0,26681.286488398793,68862.91836053603,68389.47352706379
2027-02-28,4.00000000000007,5.000000000000071,149216.09258238506,149764.38601124828,144440.6598846514,144971.40602137722,157261.68100879673,108874.52850196822,152228.76156563862,105390.16582793844,5693742.59102197,5742129.743528799,5511523.072529801,5558361.668267502,2217919,0.0,30555.267316448197,78942.41982327671,78319.26118552002
2027-03-31,4.00000000000007,5.000000000000071,167855.92421221393,168562.6245871861,161824.65853757062,162505.96631628007,177373.02301901457,122734.5352499687,170999.7965132297,118324.53546580517,5692785.914462915,5747424.402231961,5488237.255009078,5540912.516056503,2217919,0.0,34445.031221926554,89083.5189909724,88289.50402804215
2027-04-30,4.00000000000007,5.000000000000071,186492.62393193273,187378.19649795358,179062.19761538276,179912.48631032582,197586.959172693,136651.00938110275,189714.50121542966,131206.4227005107,5691789.351150701,5752725.3009422915,5465011.366631135,5523519.445146055,2217919,0.0,38350.642507045,99286.59229863525,98300.36687405774
2027-05-31,4.00000000000007,5.000000000000071,205126.06116269084,206211.1221717105,196154.06678773306,197191.6683895266,217904.03369623082,150624.18095047897,208373.14447853845,144036.04048426833,5690752.562146609,5758032.414892361,5441845.13572086,5506182.23971513,2217919,0.0,42272.16573598983,109552.01848174169,108352.01521448913
2027-06-30,4.00000000000007,5.000000000000071,223756.10421604052,225061.42195553443,213101.0516343241,214344.2113862231,238324.79380478009,164654.28095047898,226975.99409979035,156813.60090521793,5689675.206195223,5763345.719049524,5418738.291614493,5488900.684809065,2217919,0.0,46209.66573598984,119880.17859029095,118444.61521448914
2027-07-31,4.00000000000007,5.000000000000071,242382.62028635255,243929.1161145526,229903.93366480886,231370.8105963288,258849.78971913757,178741.54131457597,245523.3168716144,169539.31519093222,5688556.939709741,5768665.188114302,5395690.5646553645,5471674.566336047,2217919,0.0,50163.207598387955,130271.45600294956,128578.333716188
2027-08-31,4.00000000000007,5.000000000000071,261005.47544318397,262814.2248310683,246563.4903385886,248272.15779649265,279479.5746827337,192886.19492116873,264015.3785858771,182213.39371190834,5687397.416757193,5773990.796518759,5372701.686189651,5454503.67106362,2217919,0.0,54132.85667971732,140726.23644128226,138753.33824145142
2027-09-30,4.00000000000007,5.000000000000071,279624.5346235972,281716.7682036821,263080.49508451694,265048.94126118056,300214.7049787199,207088.47559743162,282452.4440381088,194836.04598504576,5686196.289043572,5779322.51842486,5349771.388562147,5437387.78661521,2217919,0.0,58118.67860278166,151244.90798406993,148969.79699464995
2027-10-31,4.00000000000007,5.000000000000071,298239.6616244309,300636.76624640747,279455.7173205103,281701.8457796766,321055.7399471544,221348.6181231797,300834.7770317131,207407.48067710968,5684953.2058988605,5784660.327722835,5326899.405112051,5420326.701466655,2217919,0.0,62120.739257740155,161827.86108171486,159227.87886543956
2027-11-30,4.00000000000007,5.000000000000071,316850.7190945212,319574.23888778145,295689.9224730646,298231.5526730035,342003.2420022879,235666.85823475017,319162.6403821594,219927.90560818056,5683667.814261986,5790004.198029524,5304085.47016878,5403320.204942758,2217919,0.0,66139.10480319662,172475.48857073433,169527.75343155354
2027-12-31,4.00000000000007,5.000000000000071,335457.5685268741,338529.20596996933,311783.8719966797,314638.73981076357,363057.77664994844,250043.43262889917,337436.2959211586,232397.5277550896,5682339.758665662,5795354.102686712,5281329.319047776,5386368.087213845,2217919,0.0,70173.84166729322,183188.18568834246,179869.59096160595
2028-01-31,4.00000000000007,5.000000000000071,354060.0702507884,357501.68724786444,327738.32339319057,330924.0816278999,384219.91250502755,264478.57896671473,355656.004500823,244816.5532548403,5680968.681221153,5800710.014759466,5258630.6880463585,5369470.139292342,2217919,0.0,74225.01654880859,193966.3500871214,190253.56241790616
