date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2026-07-31,24.219590502189625,1.2217359171415643,255817.0331050756,255817.0331050756,254986.2144561019,254986.2144561019,19305.87780812108,13405.537250871645,19243.177982690748,13362.0,5936511.155296954,5942411.495854204,5917231.109250782,5923112.287233473,0.0,3762.218581856658,9662.559139106093,9643.318669014987
2026-08-31,24.219590502189625,1.2217359171415643,126534.07367824232,126405.57842759554,125653.4447080716,125525.8437354399,38720.03752557875,26861.18342449433,38450.56080851811,26674.239816270434,5787393.600487326,5799252.45458841,5747115.544796734,5758891.865788981,0.0,7538.500063003574,19397.35416408799,19322.68336149076
2026-09-30,24.219590502189625,1.2217359171415643,304455.7103981145,304691.7914795682,302443.33210439584,302677.85274724494,58123.931272617265,40312.09065406879,57739.746205154865,40045.63752661524,5947101.712204015,5964913.552822564,5907792.814431898,5925486.9231104385,0.0,11313.451575569374,29125.292194117854,28998.639078499415
2026-10-31,24.219590502189625,1.2217359171415643,629898.3700215458,631109.1666979578,622241.8651891344,623437.9444586674,77691.36006387937,53838.5061704365,76747.01046388698,53184.09142310249,6256157.653186526,6280010.507079969,6180113.161592888,6203676.080633672,0.0,15109.594232834672,38962.448126277544,38728.91193760183
2026-11-30,24.219590502189625,1.2217359171415643,1052447.3999710956,1055269.2494426796,1038744.2066536184,1041529.3147651848,97284.56438711623,67376.77870022322,96017.8890239201,66499.51203239412,6664360.854382688,6694268.640069582,6577588.798004819,6607107.174996345,0.0,18909.064520718235,48816.85020761125,48467.71417950498
2026-12-31,24.219590502189625,1.2217359171415643,1355103.3010053919,1359283.3854259513,1337248.9093010451,1341373.918315511,116882.40467095925,80917.18257125586,115342.40086844991,79851.04460807073,6951837.005349842,6987802.227449546,6860241.906388604,6895733.262648984,0.0,22709.13296229677,58674.35506200017,58208.04960895909
2027-01-31,24.219590502189625,1.2217359171415643,1630262.7023651567,1635866.3197274567,1610247.4145570595,1615782.234409541,136453.45544837476,94445.27150471667,134778.17012212257,93285.73489228096,7212051.657221188,7254059.841164846,7123506.854351857,7164999.289581698,0.0,26505.745258396008,68513.9292020541,67939.52624632066
2027-02-28,24.219590502189625,1.2217359171415643,1764007.318892395,1770389.961242255,1743700.186895698,1750009.3527019531,156001.73295907414,107962.88535380556,154205.85164441922,106720.02397781049,7328778.471051297,7376817.318656566,7244410.072920367,7291895.900586976,0.0,30299.417757579016,78338.2653628476,77663.46759622655
2027-03-31,24.219590502189625,1.2217359171415643,1931620.5705072815,1939101.8880978734,1906685.0093501508,1914069.749561539,169878.30743310638,126159.54743400155,167685.32451040143,124530.93612253146,7486082.994842465,7529801.75484157,7389444.098365904,7432598.486753774,9441.642300597803,33490.613349540865,86651.01564924349,83227.2917838629
2027-04-30,24.219590502189625,1.2217359171415643,2182471.7330347584,2191418.022597688,2148107.261017056,2156912.6852882644,183818.82940136146,144435.86044223627,180924.47942024798,142161.62155547726,7728686.087774596,7768069.056733722,7606992.774281997,7645755.632146769,18937.704406484016,36691.005659468865,95011.67902507809,88807.15037628339
2027-05-31,24.219590502189625,1.2217359171415643,2604733.2345081326,2615831.236718761,2559900.8193337554,2570807.803809392,197792.6228421558,162753.60747299943,194388.23544915544,159952.30820569268,8147016.850217792,8182055.865586949,8006791.188325554,8041227.115569017,28462.101147028596,39896.17268263348,103397.28919881843,94395.33364333736
2027-06-30,24.219590502189625,1.2217359171415643,2581565.014259366,2592563.373663272,2533872.376903172,2544667.5491846674,211795.1742832836,181107.16424152054,207882.4041670592,177761.33399549924,8109283.602331538,8139971.612373301,7959470.167485512,7989591.237657072,38010.997879555325,43105.462096355106,111804.47001767348,99990.70426561011
2027-07-31,24.219590502189625,1.2217359171415643,2621551.607475439,2632701.288381259,2575464.8322899546,2586418.5022395793,225777.3249153874,199435.3198754555,221808.1683343442,195929.25471734992,8136332.399496566,8162674.404536498,7993295.992713381,8019174.906330375,47542.50884268776,46311.82991781171,120196.34380043138,105580.98111495603
2027-08-31,24.219590502189625,1.2217359171415643,2884254.513698665,2896254.715568963,2829275.56798839,2841047.02498059,239793.27343236454,217805.55992776767,235222.3934011079,213653.80424955298,8392309.172380257,8414296.885884855,8232337.051965526,8253905.641117081,57102.8161371576,49523.04123315576,128613.57087491025,111179.7025574543
2027-09-30,24.219590502189625,1.2217359171415643,3097297.8888892974,3109856.2609367813,3039140.300545366,3051462.865557812,253802.70904465087,236167.69105265263,249037.0862331858,231733.1988439286,8597430.395836107,8615065.413828105,8435997.483758043,8453301.3711473,66657.57224517412,52733.32025457853,137025.9104917509,116776.79855289997
2027-10-31,24.219590502189625,1.2217359171415643,3426864.6551501118,3440099.033351177,3359764.116397091,3372739.3557068617,267830.52856707387,254552.71160270312,262586.20917606784,249568.38166603234,8922698.405124232,8935976.222088603,8747985.385975733,8761003.21348577,76227.99649506368,55946.231426240985,145452.0448856754,122378.48368139844
2027-11-30,24.219590502189625,1.2217359171415643,3284106.034161901,3297127.9740675646,3215659.0657731993,3228409.6038727667,281887.2686418209,272973.7385909556,276012.20591083687,267284.45065021195,8761597.892285349,8770511.422336213,8578989.654996563,8587717.410257187,85823.07403820519,59163.28080741429,153899.88489648476,127987.38374533615
2027-12-31,24.219590502189625,1.2217359171415643,3108634.79261127,3121478.2184828664,3032714.9674846395,3045244.7281265613,296026.6001149525,291497.5841717674,288796.96742636006,284378.56019772054,8566341.875403741,8570870.891346926,8357132.6177896345,8361551.025018274,95488.57910044574,62392.13670113095,162409.73174476175,133616.86837019073
