date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2027-05-31,-53.930809211258946,2.303546156094627,112428.81403820746,115263.29183929058,109476.34482784498,112236.3870093163,198262.24366834582,134840.59790739144,193055.72098983347,131299.57760014932,5623678.039555948,5687099.685316903,5475995.824789029,5537751.968178713,179044,0.0,40069.822434359725,103491.46819531411,94770.77547303171
2027-06-30,23.009803197966928,6.376225467257601,210323.54530065725,214262.04166829423,203748.07072507555,207563.43545429135,212426.20800322754,143761.4974870535,205784.99658813977,139266.99322067492,5710860.076084458,5779524.786600633,5532317.939105367,5598835.942472832,179044,0.0,43321.48104069338,111986.19155686742,100440.01644636011
2027-07-31,54.81815321244123,1.3975415852040873,422167.21452343586,428652.8200879488,408496.019371181,414771.5992010971,226611.4783679272,152692.72054652823,219273.03606845552,147748.01638877697,5916398.399637408,5990317.157458806,5724805.508628006,5796330.528307685,179044,0.0,46576.90254466763,120495.6603660666,106115.8180018606
2027-08-31,31.602994293399412,5.25955582359956,559124.9468315283,567321.6855487496,538712.5188416982,546610.0125694679,240875.6853359305,161662.17572256053,232081.84129573213,155760.24353492315,6044337.7167744385,6123551.226387808,5823672.176649561,5899993.77441037,179044,0.0,49846.2596153112,129059.76922868117,111815.91610724933
2027-09-30,24.794334040049005,-6.401848181246905,671727.7886494102,681400.2335086096,650782.5614783108,660153.4086393069,255037.92263374344,170582.31570959624,247085.5536576893,165263.36744769182,6147265.708989339,6231721.315913486,5955587.05741119,6037409.243621187,179044,0.0,53097.641350923615,137553.2482750708,117484.67435867262
2027-10-31,-7.830077823328141,0.40791292777995203,630100.5792385087,639201.1192213311,610246.282591941,619060.0670528413,269206.4059788841,179505.48224270623,260723.7858709633,173849.3136696841,6089742.985466158,6179443.909202336,5897856.852174677,5984731.324375956,179044,0.0,56350.12625942819,146051.04999560607,123155.35598327804
2027-11-30,-32.33826702201104,0.6437961336094311,435046.5029826163,441273.9281459105,421113.04497267294,427141.0211887214,283384.7411548781,188433.4219578479,274308.63236083055,182398.3678785268,5871887.910160657,5966839.229357688,5683825.93730396,5775736.201786265,179044,0.0,59604.35098781239,154555.67018484257,128829.07097003552
2027-12-31,-40.59096690632674,5.124853826863718,185693.1104008409,187888.3684086747,178998.7589754297,181114.87657497282,297639.9978019449,197398.62299761796,286909.89188017015,190282.28060674632,5596245.150660297,5696486.525464623,5394497.053380842,5491124.664654266,179044,0.0,62872.15743021873,163113.53223454568,134526.46556739922
2028-01-31,30.862714436189286,0.48543056046497224,312548.7110074661,317016.2389863422,301159.58025160414,305464.3135731519,311902.7353702617,206367.44264555984,300537.1436684356,198847.50829527236,5715584.9126762645,5821120.205400966,5507311.636786329,5609001.272159492,179044,0.0,66141.2828515352,171676.57557623702,140226.15979402466
2028-02-29,90.09100317747642,2.5951840974552276,626827.2575342453,637097.7748679356,602697.7866267632,612572.9443996984,326205.10847640794,215355.43178341544,313647.96999807126,207065.40839415294,6032711.44600363,6143561.122696622,5800484.570768189,5907067.132372107,179044,0.0,69417.39553196162,180267.0722249541,145938.03625145383
2028-03-31,-21.195352498484333,0.3542626293040918,508259.5032381164,516351.36552629696,488550.25621641014,496328.33290552703,340512.9630565031,224346.0700465098,327308.57817001024,215646.39579600366,5893424.556313106,6009591.449323099,5664889.80262106,5776551.984995066,179044,0.0,72694.47381577869,188861.36682577204,151651.59623073108
2028-04-30,81.15829540022048,3.192938988630223,807428.5596170874,821417.4244768964,774088.0196904455,787499.2528801436,354869.611487977,233360.2873379765,340216.2476582683,223724.3165952842,6195522.489996788,6317031.814146789,5939695.441914534,6056187.3729775185,179044,0.0,75980.1466308817,197489.4707808822,157380.1407070948
2028-05-31,-49.721416856900916,3.5090041198744704,462408.8541357969,469631.0401078846,442042.6797727026,448946.77430368867,369279.99734938657,242400.44906963635,353015.5578873084,231724.2481982863,5816330.222173005,5943209.7704527555,5560157.801600534,5681449.111289555,179044,0.0,79275.2761674159,206154.82444716615,163125.17290222045
2028-06-30,-24.288821968209373,-6.042600051674862,329096.9502828063,333411.02177461586,316240.6327587569,320386.1731448468,383593.2830424523,251393.77740803995,368608.0422413802,241572.968606407,5660241.032540811,5792440.538175223,5439121.219930991,5566156.293565963,179044,0.0,82553.33498088169,214752.840615294,168840.44242715827
2028-07-31,76.95460171122481,-3.3551861823534868,604803.8169834253,615557.245256738,582832.0913523046,593194.8617478387,397853.7111268989,260361.56532487134,383400.2101126304,250902.97277375328,5940372.064542146,6077864.210344175,5724566.1759485705,5857063.413287449,179044,0.0,85822.08433728285,223314.2301393104,174539.4809875885
2028-08-31,21.168595370723974,5.79976104064075,700620.6176087572,713591.7617723756,672003.377687016,684444.7082321646,412201.4535606466,269371.58458729665,395364.85527026816,258368.9519634606,6028258.409277892,6171088.278251242,5782030.832080193,5919026.735387001,179044,0.0,89106.22697517219,231936.09594852212,180265.35761212447
2028-09-30,42.34578981111823,2.2746361717657093,880631.9686016589,897868.1916538102,843080.4028435115,859581.6455787517,426584.2006201397,278398.50710499176,408393.9631178491,266527.1462876876,6206195.86520452,6354381.558719668,5941553.6759024095,6083420.492732571,179044,0.0,92396.53083200389,240582.22434715182,186001.97627298787
2028-10-31,-55.41083246685019,-0.4237031750363274,476661.4422208396,484252.0379174243,456497.3271352124,463766.81935742905,440960.33005885535,287422.23613649246,422306.4720877225,275263.46990480006,5760082.208824074,5913620.302746437,5516414.585908623,5663457.588091546,179044,0.0,95685.67066644352,249223.76458880637,191736.56547004895
2028-11-30,35.63282807995878,4.5053579995048665,624832.2207656247,636372.3883759412,596206.5642097862,607218.0380946017,455405.24721826107,296479.16434897104,434541.60772056854,282896.4609406603,5905151.213075034,6064077.295944325,5634616.46003581,5786261.606815718,179044,0.0,98986.9115677751,257912.99443706512,197492.25278119594
2028-12-31,1.9178598090115129,2.286317325415399,634187.9741354008,645979.9343216734,603994.8149497382,615225.3697711416,469885.59365845664,305553.17017952475,447514.7334293247,291006.0392291284,5900748.135681783,6065080.559160715,5619818.450728306,5776327.144928502,179044,0.0,102294.37724311,266626.80072204187,203258.79293641477
2029-01-31,-15.906042700590895,2.655281742699822,549614.9950832167,559051.6467070992,522306.39034396975,531274.1650420697,484407.12310863746,314647.01409053104,460338.48819840065,299013.2140358553,5794918.951583099,5964679.060601205,5506988.03164742,5668313.305809964,179044,0.0,105609.07387810995,275369.1828962164,209037.94021242106
2029-02-28,-1.5903627985744406,3.6848569495295136,541878.4190868515,551088.4304426746,513403.71913156233,522129.7615735028,498985.7093700543,323768.32179291744,472764.94128662907,306754.90052838984,5771957.075790163,5947174.4633673,5468651.500039617,5634661.540797856,179044,0.0,108933.7810364665,284151.16861360334,214834.54075645097
2029-03-31,100.74958477116579,5.919115368865069,887003.5086210002,906690.3679127065,836375.4905862074,854938.6714960564,513655.41847347503,332933.44488389906,484337.20773654804,313930.40793067106,6132248.521417032,6312970.495006608,5782234.5860507535,5952641.38585663,179044,0.0,112274.4588583355,292996.4324479115,220658.98602556353
2029-04-30,45.08707818596476,2.9398345805155657,1080166.8453834413,1105546.3734120612,1016057.2537208376,1039930.4670671857,528371.2825309568,342120.7242853494,497011.6205360719,321815.32421961974,6326875.931094851,6513126.489340459,5951365.949302677,6126562.245619129,179044,0.0,115623.21263229624,301873.7708779036,226497.51165305317
2029-05-31,38.64578831606027,3.193593622182833,1254810.495514497,1285331.1828901963,1177247.4333432652,1205881.5585799864,543137.3918044195,351332.103299734,509564.67350262223,329615.3629087368,6501338.346132151,6693143.634636836,6099473.911510489,6279423.222104374,179044,0.0,118980.75069007355,310786.039194759,232351.35260966045
2029-06-30,-66.91969156798511,6.749849020512189,682273.4781408284,695902.931442808,636625.6900725132,649343.2591876545,558008.4163122954,360593.75813088205,520674.63338763907,336468.0842225695,5866099.189213682,6063513.847395095,5473625.406843278,5657831.956008347,179044,0.0,122356.6142307026,319771.27241211594,238237.14390017942
2029-07-31,-37.12677383841694,0.652142517612897,459756.82570082,465897.81904598715,428764.2866467199,434491.31120351516,572889.9327082549,369860.4312458008,534271.0093543787,344927.8729472295,5607534.285751154,5810563.787213608,5229526.357139256,5418869.493546406,179044,0.0,125734.30693053993,328763.80839299405,244126.12431526088
2029-08-31,29.494797767001767,3.4659863870285967,581848.8481564978,592410.3730915843,541087.4536655289,550909.0914535166,587826.5484737317,379153.45349517034,546646.3864599748,352591.87562233245,5727163.14101332,5935836.235991881,5325946.9886661535,5520001.499503796,179044,0.0,129121.60386244388,337794.69884100533,250031.84963272643
2029-09-30,-84.72926588273579,1.8103666855036948,-248339.3626383911,-268026.3113534951,-230596.9260825326,-248877.3541605325,602792.2696549371,388460.38055781834,559726.1866663625,360707.0933491869,4796800.064733227,5011131.9538303455,4454095.952443174,4653115.045760349,179044,0.0,132513.96908430703,346845.8581814257,255946.41147351134
2029-10-31,-25.04002141147105,2.6803931253114976,-362176.3008011134,-386949.7416935405,-335560.3870205585,-358513.25664594787,617801.0019200296,397787.8450398863,572399.5271016271,368554.8804226117,4653649.018763458,4873662.175643601,4311657.781969669,4515502.428648684,179044,0.0,135913.82017416053,355926.97705430386,261874.02486572575
2029-11-30,21.190542725678373,4.873070578298377,-287042.66917193227,-308263.9755101728,-264895.82847769605,-284479.80022678844,632887.4019501626,407152.3667888299,584056.8343247488,375738.4357814075,4723670.709697802,4949405.744859135,4359214.850220529,4567533.24876387,179044,0.0,139327.17859919785,365062.21376053046,267825.1881896321
2029-12-31,-43.50430756806536,3.546806058978058,-506549.0549120605,-538260.1444609421,-466110.3820931677,-495289.9214149534,648030.9693310802,416544.1269828241,596297.5545883779,383290.70068117196,4459610.826308474,4691097.66865673,4103592.507142942,4316599.3610501485,179044,0.0,142750.4654090893,374237.3077573454,273793.66157373483
2030-01-31,5.829052229648979,0.217307453004989,-485444.3766927832,-516059.9770812798,-446609.73032850877,-474776.1396842093,663178.1062566605,425937.58623480506,610125.0924212455,391863.3723210048,4468635.111678397,4705875.631700253,4111152.6221802537,4329414.342280495,179044,0.0,146174.37152384743,383414.89154570294,279763.2147109576
2030-02-28,-18.55627880961134,1.4277812727065964,-561229.6193183144,-595868.6698031224,-515722.6579249525,-547553.0221272556,678348.5730603415,435342.1495124081,623345.0927326387,400042.69683058525,4366432.31842369,4609438.741971623,4012382.8169334005,4235685.212835453,179044,0.0,149602.32504438085,392608.74859231425,285739.8244680273
2030-03-31,-6.2767301329913145,1.7637196089908658,-584753.3768694855,-620701.602391039,-536556.6969685744,-569541.9894195341,693547.861069374,444760.4248064393,636384.0966891252,408102.2768163447,4324054.731534511,4572842.167797445,3967656.478846346,4195938.298719126,179044,0.0,153035.27658062225,401822.7128435569,291725.1482258171
2030-04-30,-38.70053362932684,3.8836385337831514,-757554.7476324547,-803445.2178026054,-692911.8303441821,-734886.4200095903,708810.1359524317,454208.651611555,648326.6459675037,415450.5652956747,4108274.9655978456,4362876.449938722,3757711.6833682815,3990587.76404011,179044,0.0,156479.14541146168,411080.62975233834,297729.5062000933
