roi_fixed,cpi_fixed,yrs_il_man,yrs_il_woman,yrs_al_man,yrs_al_woman,yrs_al_total, |*|,start_pile, |,cum_mo_earn_ss_norm,cum_mo_earn_pen_norm,cum_mo_earn_inv_cc_norm, |,cum_mo_earn_total_cc_norm,cum_mo_earn_cc_norm, |,entrance_fee_cc,cum_mo_exp_cc_norm,cum_mo_exp_al_cc_norm,cum_mo_exp_non_taylor_norm, |,cum_mo_exp_total_cc_norm, |,worth_norm_cc, |*|,start_pile, |,cum_mo_earn_ss_norm,cum_mo_earn_pen_norm,cum_mo_earn_inv_lc_norm, |,cum_mo_earn_total_lc_norm,cum_mo_earn_lc_norm, |,entrance_fee_lc,cum_mo_exp_lc_norm,cum_mo_exp_al_lc_norm,cum_mo_exp_non_taylor_norm, |,cum_mo_exp_total_lc_norm, |,worth_norm_lc,
  2.000,  4.000, 10.00,  8.80,  2.00,  2.00,  4.00, |*|,  6.300, |,  0.880,  0.832, -1.018, |,  2.748,  2.748, |,  0.481,  0.461,  0.607,  1.086, |,  2.634, |,  6.415, |*|,  6.300, |,  0.880,  0.832, -0.872, |,  2.600,  2.600, |,  0.900,  1.075,  0.418,  1.086, |,  3.476, |,  5.424,
  2.000,  4.000, 10.00,  8.80,  4.00,  4.00,  8.00, |*|,  6.300, |,  1.027,  0.937, -1.118, |,  3.102,  3.102, |,  0.481,  0.461,  1.138,  1.086, |,  3.165, |,  6.237, |*|,  6.300, |,  1.027,  0.937, -0.956, |,  2.937,  2.937, |,  0.900,  1.075,  0.798,  1.086, |,  3.856, |,  5.381,
  2.000,  4.000, 10.00,  8.80,  8.00,  8.00, 16.00, |*|,  6.300, |,  1.320,  1.122, -1.254, |,  3.720,  3.720, |,  0.481,  0.461,  2.335,  1.086, |,  4.362, |,  5.658, |*|,  6.300, |,  1.320,  1.122, -1.083, |,  3.545,  3.545, |,  0.900,  1.075,  1.652,  1.086, |,  4.711, |,  5.134,
  0.000,  4.000, 10.00,  8.80,  0.00,  0.00,  0.00, |*|,  6.300, |,  0.733,  0.719, -1.611, |,  1.453,  1.453, |,  0.481,  0.490,  0.000,  1.086, |,  2.055, |,  5.698, |*|,  6.300, |,  0.733,  0.719, -1.362, |,  1.453,  1.453, |,  0.900,  1.121,  0.000,  1.086, |,  3.105, |,  4.648,
  0.000,  4.000, 10.00,  8.80,  0.50,  0.50,  1.00, |*|,  6.300, |,  0.770,  0.748, -1.657, |,  1.518,  1.518, |,  0.481,  0.478,  0.168,  1.086, |,  2.211, |,  5.607, |*|,  6.300, |,  0.770,  0.748, -1.395, |,  1.518,  1.518, |,  0.900,  1.102,  0.113,  1.086, |,  3.198, |,  4.620,
  0.000,  4.000, 10.00,  8.80,  1.00,  1.00,  2.00, |*|,  6.300, |,  0.807,  0.777, -1.699, |,  1.584,  1.584, |,  0.481,  0.465,  0.339,  1.086, |,  2.370, |,  5.513, |*|,  6.300, |,  0.807,  0.777, -1.426, |,  1.584,  1.584, |,  0.900,  1.082,  0.229,  1.086, |,  3.294, |,  4.589,
  0.000,  4.000, 10.00,  8.80,  2.00,  2.00,  4.00, |*|,  6.300, |,  0.880,  0.832, -1.776, |,  1.712,  1.712, |,  0.481,  0.461,  0.607,  1.086, |,  2.634, |,  5.379, |*|,  6.300, |,  0.880,  0.832, -1.482, |,  1.712,  1.712, |,  0.900,  1.075,  0.418,  1.086, |,  3.476, |,  4.536,
  0.000,  4.000, 10.00,  8.80,  4.00,  4.00,  8.00, |*|,  6.300, |,  1.027,  0.937, -1.892, |,  1.963,  1.963, |,  0.481,  0.461,  1.138,  1.086, |,  3.165, |,  5.098, |*|,  6.300, |,  1.027,  0.937, -1.566, |,  1.963,  1.963, |,  0.900,  1.075,  0.798,  1.086, |,  3.856, |,  4.407,
  0.000,  4.000, 10.00,  8.80,  8.00,  8.00, 16.00, |*|,  6.300, |,  1.320,  1.122, -1.971, |,  2.443,  2.443, |,  0.481,  0.461,  2.335,  1.086, |,  4.362, |,  4.381, |*|,  6.300, |,  1.320,  1.122, -1.625, |,  2.443,  2.443, |,  0.900,  1.075,  1.652,  1.086, |,  4.711, |,  4.032,
  0.000,  0.000, 10.00,  8.80,  0.00,  0.00,  0.00, |*|,  6.300, |,  0.733,  0.871,  0.000, |,  1.604,  1.604, |,  0.481,  0.443,  0.000,  1.086, |,  2.011, |,  5.894, |*|,  6.300, |,  0.733,  0.871,  0.000, |,  1.604,  1.604, |,  0.900,  1.121,  0.000,  1.086, |,  3.108, |,  4.797,
