date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2028-04-30,146.93067069240135,-0.6827530977883356,1887842.6024509633,1916658.7799139235,1890177.4108856956,1919029.2270476182,422163.0976344256,293686.34246498946,422685.21211574407,294049.56201976736,7260376.016224001,7388852.771393437,7269355.3597031655,7397991.009799142,-844185,0.0,82422.07635411693,210898.83152355306,211264.26611087253
2028-05-31,52.028155961571734,-0.3543970488844139,2145763.0875561414,2179143.324365889,2149052.596607697,2182484.0061642244,441338.13343853847,307027.88953609596,442014.71595277876,307498.57105148135,7514118.555302793,7648428.799205236,7525637.888982021,7660154.033883319,-844185,0.0,86166.33630896271,220476.58021140523,220861.55322713323
2028-06-30,20.323799055901848,0.5831353877941536,2262513.641384197,2297980.722478471,2264884.450788923,2300388.696604717,460524.7834040562,320375.90261713637,461007.35131774,320711.6133899155,7618539.746700145,7758688.627487065,7626522.949696749,7766818.687624575,-844185,0.0,89912.41092757531,230061.2917144951,230463.49168956108
2028-07-31,21.69293907887444,0.6335102583926666,2388185.0493870676,2425963.952400516,2389429.753222352,2427228.3463119464,479724.0558825347,333730.94207241875,479974.0844020535,333904.8800943728,7732608.455829822,7878601.569639939,7736638.632387621,7882707.836695302,-844185,0.0,93660.45747429802,239653.57128441398,240070.4845981207
2028-08-31,-47.79402620397369,0.46236598381541594,1980493.517212923,2010575.126797367,1980764.149617766,2010849.8698232612,498932.5543777299,347091.1164183174,499000.732998802,347138.54606285784,7280415.610131669,7432257.048091082,7281410.471446641,7433272.658382585,-844185,0.0,97409.94511066383,249251.38307007635,249681.17130765357
2028-09-30,-59.70205208156927,0.622812319670274,1449445.5188063541,1468451.511829663,1448893.731423254,1467892.4890817164,518153.47753513174,360458.2051165794,517956.2224139811,360320.98278766975,6693753.5554650435,6851448.827883596,6691205.319805569,6848840.559431881,-844185,0.0,101161.37323657931,258856.6456551316,259296.83188000013
2028-10-31,47.30317892499558,-0.4700908915505897,1669023.6751832138,1693202.6159256303,1669043.545027366,1693222.7736217713,537364.9693094371,373820.04604292416,537371.3666771628,373824.4963968444,6911117.437604017,7074662.36087053,6911199.714942825,7074746.585223144,-844185,0.0,104911.32859309725,268456.25185961026,268908.7174498269
2028-11-30,42.95464145389369,0.031916417842925426,1877930.2973150583,1907052.8116249735,1877902.714905677,1907024.8014738846,556577.0996191076,387182.2423023742,556568.9248016311,387176.55549965973,7117055.192777441,7286450.050094174,7116950.659861498,7286343.029163469,-844185,0.0,108661.38367264655,278056.2409893799,278520.8586297277
2028-12-31,49.95054832161927,0.07845840937044102,2122313.329669912,2157252.467256599,2122143.457714169,2157079.79873941,575790.7993254373,400545.3118950374,575744.7124881108,400513.25187140936,7361336.081492329,7536581.568922729,7360746.873226252,7535978.333842955,-844185,0.0,112411.68385020134,287657.1712806011,288133.6280448361
2029-01-31,-48.99111886515909,1.0858841909688,1720729.748160039,1746108.7040478252,1719044.139016838,1744398.2339407597,595026.1221257967,413920.4140073452,594443.2406634572,413514.9418318601,6909106.013660451,7090211.721778903,6902337.924551499,7083266.223383097,-844185,0.0,116165.3609136016,297271.0690320531,297755.0530937436
