date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2026-07-31,17.964599779709033,2.021582402482558,-228806.90164477268,-228806.90164477268,-228352.60670037332,-228352.60670037332,19269.3198884268,13388.58296366649,19231.0607513798,13362.0,5451923.7784668,5457804.51539156,5441099.011416489,5446968.072167869,0.0,3757.4604186311435,9638.197343391454,9631.122545035347
2026-08-31,17.964599779709033,2.021582402482558,-133158.4762089178,-133055.30469550128,-132709.67736834593,-132606.85358537003,38578.80966122688,26795.770701491187,38448.78320298297,26705.45793158392,5528600.774634997,5540383.813594733,5509967.115792672,5521710.441064072,0.0,7520.142204055677,19303.181163791367,19275.62849743551
2026-09-30,17.964599779709033,2.021582402482558,-109969.85258134999,-109817.25943906857,-109223.3303121305,-109071.77303719062,57988.011513686586,40249.09762342998,57594.36415555541,39975.869579683604,5532542.007604964,5550280.921495221,5494984.752438016,5512603.247013888,0.0,11295.77279508026,29034.686685336867,28953.32482834972
2026-10-31,17.964599779709033,2.021582402482558,42159.90952241517,42800.274243546664,41762.21510406722,42396.53926490848,77475.011975196,53738.34165980887,76744.19020226039,53231.42789335454,5666779.28084502,5690515.951160408,5613324.552987891,5636837.315296797,0.0,15081.48340250586,38818.15371789299,38656.858257303014
2026-11-30,17.964599779709033,2.021582402482558,71492.66372767472,72255.89575693767,71269.74328902678,72030.59549342544,96776.59387342645,67142.13587378737,96474.83590789177,66932.78076516032,5677211.4843852585,5706845.942384898,5659509.437651946,5689051.492794678,0.0,18843.21280696772,48477.6708066068,48298.92306681965
2026-12-31,17.964599779709033,2.021582402482558,1681.2440169624315,2080.0676406194834,1671.4313202177384,2067.927182268455,116157.36817266233,80582.58196506051,115479.40767612515,80112.25616360061,5586829.2499070885,5622404.03611469,5554221.3353862865,5589588.4868988115,0.0,22615.228436534722,58190.01464413655,57967.35352852579
2027-01-31,17.964599779709033,2.021582402482558,75849.90844885794,76721.00968517191,75399.73397126376,76265.66516120578,135541.02526734956,94024.35985090697,134736.5798633917,93466.31874126544,5643156.319203938,5684672.984620381,5609663.794296109,5650934.055418235,0.0,26387.617829733663,67904.28324617623,67636.74202117331
2027-02-28,17.964599779709033,2.021582402482558,345954.89555358543,348813.1574749185,343158.0634332107,345993.21806844155,154987.73267020204,107495.2638073478,153734.752369685,106626.23084822907,5900302.157430006,5947794.62629286,5852601.85081226,5899710.372333716,0.0,30168.181355901383,77660.65021875563,77327.08245144642
2027-03-31,17.964599779709033,2.021582402482558,592515.9583467892,597358.8294093257,588482.9287596327,593292.8362504598,174396.86964874738,120948.83713719301,173209.81683558214,120125.58464612513,6133930.690555182,6187378.723066736,6092179.3695787825,6145263.6017682385,0.0,33943.88110046953,87391.91361202391,87004.95603672348
2027-04-30,17.964599779709033,2.021582402482558,631535.0798498876,636717.9442021888,624236.3517984141,629359.3171543775,193946.05680668104,134467.06899383324,191704.59854022326,132913.0166540994,6154509.997175626,6213988.984988474,6083381.573446359,6142173.155332482,0.0,37737.727041376646,97216.71485422444,96729.3419524566
2027-05-31,17.964599779709033,2.021582402482558,744595.4814243471,750870.994622852,731782.9922899368,737950.5207548855,213664.1185478614,148063.01878717056,209987.5327162215,145515.25175561442,6251415.190765973,6317016.290526664,6143845.119224362,6208317.400184969,0.0,41553.38425773759,107154.48401842843,106509.63452943297
2027-06-30,17.964599779709033,2.021582402482558,896340.57976797,904208.475655972,879481.3189392157,887201.2276536552,233430.58981508037,161681.16230988406,229039.9962305289,158640.10297595977,6388580.240706985,6460329.668212181,6268417.500076202,6338817.393330771,0.0,45375.27006900654,117124.69757420284,116305.89224087753
2027-07-31,17.964599779709033,2.021582402482558,1064885.342520947,1074646.145718694,1048304.8547246521,1057913.6801724571,253099.2271967621,175254.50205226493,249158.41922409055,172525.7527526978,6543614.777164515,6621459.502309012,6441729.324689806,6518361.991161199,0.0,49184.581851219395,127029.30699571657,126069.92020104552
