date,apy_roi,apy_cpi,earn_norm_lc,earn_norm_cc,mo_earn_lc_norm,cum_mo_earn_lc_norm,mo_earn_cc_norm,cum_mo_earn_cc_norm,mo_earn_ss_man_norm,cum_mo_earn_ss_man_norm,mo_earn_ss_woman_norm,cum_mo_earn_ss_woman_norm,mo_earn_pen_man_norm,cum_mo_earn_pen_man_norm,mo_earn_pen_woman_norm,cum_mo_earn_pen_woman_norm,exp_norm_total_lc,exp_norm_total_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm
2027-08-31,-55.301769944309996,3.8242106428240774,587471.393141275,639568.1355886204,-387626.2530373877,788040.7819224717,-418986.47057211166,841363.0444638329,3445.0,48230.0,2667.0,37338.0,5544.542703155788,78594.38340164634,1508.348865082872,21380.97862214813,1166742.6526000341,665770.6670769914,5682444.934123466,6171632.238248134,-602431
2027-09-30,14.666077289569213,3.176849164972384,650949.0911577163,708506.5044006889,78153.30257210968,866194.0844945814,83749.57074308691,925112.6152069197,3445.0,51675.0,2667.0,40005.0,5530.11137016362,84124.49477180996,1504.4229354064748,22885.401557554604,1185410.561991658,678651.7460765534,5726357.123215762,6220271.35790362,-602431
2027-10-31,52.99907040256437,3.9252423665673053,854774.1941676213,929907.5689872947,219034.3066106512,1085228.3911052328,236794.64343984902,1161907.2586467688,3445.0,55120.0,2667.0,42672.0,5512.396611581512,89636.89138339147,1499.6037758412806,24385.005333395886,1203874.1020078633,691380.602776046,5936179.542726632,6434527.411853745,-602431
2027-11-30,156.265584318851,7.824428881024836,1330651.2132080477,1445713.7956219818,494306.4626303075,1579534.8537355403,534705.867947042,1696613.1265938107,3445.0,58565.0,2667.0,45339.0,5477.899075188951,95114.79045858042,1490.2189946876867,25875.224328083572,1221380.7666506013,703426.0043866436,6455978.790988621,6957254.274112206,-602431
2027-12-31,126.41656892105892,2.0748942889188493,1782569.5907747722,1932701.3650618661,467261.88922358357,2046796.7429591238,502527.82902839984,2199140.9556222106,3445.0,62010.0,2667.0,48006.0,5468.532300254333,100583.32275883475,1487.6708378606002,27362.895165944174,1240247.9680206387,716407.6734798307,6963123.121300322,7469596.200031588,-602431
2028-01-31,-48.112832333595556,6.826814244709323,1404332.4009602093,1526840.169411535,-355424.21350687084,1691372.529452253,-382224.2786716796,1816916.676950531,3445.0,65455.0,2667.0,50673.0,5438.520357785587,106021.84311662034,1479.5063269558689,28842.401492900044,1257824.2894033608,728477.7287375734,6473356.942806946,6983132.080144454,-602431
2028-02-29,2.259102160861093,3.758526737650736,1412046.3835114476,1535125.0414580575,25034.012129811472,1716406.5415820645,25980.99528124241,1842897.6722317734,3445.0,68900.0,2667.0,53340.0,5421.824330821388,111443.66744744172,1474.9643052471154,30317.36579814716,1276184.5172422936,741079.9826007172,6448309.003947318,6962615.886461665,-602431
2028-03-31,35.04981981276389,5.342085609156499,1568728.8242667739,1704258.9759732292,175772.0303458525,1892178.571927917,188756.148406658,2031653.8206384315,3445.0,72345.0,2667.0,56007.0,5398.361323974288,116842.02877141601,1468.5813803344602,31785.94717848162,1294036.6136032436,753316.4834992681,6594807.491215295,7113006.743973998,-602431
2028-04-30,22.125044662595215,2.8409019326335994,1675577.5891594123,1819474.984385299,123469.48729565617,2015648.0592235732,132152.74528530054,2163806.565923732,3445.0,75790.0,2667.0,58674.0,5385.774012056362,122227.80278347238,1465.1571019652015,33251.10428044682,1312609.385650421,766043.5255347141,6691318.516379336,7214439.032244669,-602431
2028-05-31,107.90526306511991,2.8231531370606078,2091544.214629257,2267931.560698023,432796.5659054866,2448444.62512906,465619.97613550565,2629426.5420592376,3445.0,79235.0,2667.0,61341.0,5373.293335123235,127601.09611859561,1461.7618327977668,34712.86611324459,1331156.2197640107,778744.9823804498,7155359.324267896,7683408.582232813,-602431
