               parameter  low_mean  high_mean  low_minus_high  std_mean_diff  abs_std_mean_diff   low_q25   low_q75  high_q25  high_q75
   combined_assisted_yrs  9.851369  10.068416       -0.217047      -0.498182           0.498182  9.560202 10.175465  9.678836 10.460455
             solo_lc_yrs  3.839595   4.800389       -0.960794      -0.341709           0.341709  1.403308  5.944264  2.567257  7.453987
      roi_vol_multiplier  0.942158   1.034165       -0.092008      -0.323413           0.323413  0.672953  1.185679  0.820294  1.252115
      woman_assisted_yrs  4.685146   5.464259       -0.779113      -0.291054           0.291054  2.799064  6.588431  3.385994  7.548429
          overlap_lc_yrs  3.005887   2.634013        0.371874       0.259173           0.259173  2.086205  4.087434  1.310782  3.702858
    inflation_mean_shift  0.000006  -0.000632        0.000638       0.217257           0.217257 -0.002956  0.002701 -0.003299  0.001620
        man_assisted_yrs  5.166223   4.604157        0.562066       0.210016           0.210016  3.360002  7.142640  2.353395  6.829051
     man_independent_yrs  9.418188  10.441338       -1.023149      -0.163643           0.163643  3.435711 17.914435  5.811145 14.913533
combined_independent_yrs 18.795370  19.945566       -1.150196      -0.135801           0.135801 15.879490 23.789854 13.364644 26.985148
      roi_mean_reversion  0.240724   0.258824       -0.018100      -0.134318           0.134318  0.098216  0.357275  0.158905  0.372692
       independent_split  0.041007   0.937109       -0.896102      -0.109073           0.109073 -8.876906 11.789843 -3.983263  5.345852
inflation_mean_reversion  0.256940   0.270045       -0.013105      -0.089314           0.089314  0.155299  0.372676  0.128452  0.402477
          roi_mean_shift -0.000216  -0.000079       -0.000137      -0.023938           0.023938 -0.006099  0.005270 -0.004374  0.004589
   woman_independent_yrs  9.377181   9.504228       -0.127047      -0.022995           0.022995  4.922842 15.063080  4.795653 13.451875
inflation_vol_multiplier  1.032294   1.027305        0.004989       0.017253           0.017253  0.777173  1.299038  0.822931  1.248850
