parameter,low_mean,high_mean,low_minus_high,std_mean_diff,abs_std_mean_diff,low_q25,low_q75,high_q25,high_q75
combined_assisted_yrs,9.851369108828456,10.068416080701118,-0.2170469718726622,-0.4981821939629117,0.4981821939629117,9.560202027421996,10.175464702467197,9.678835985398855,10.460455305113566
solo_lc_yrs,3.8395951018813688,4.800389208349332,-0.9607941064679628,-0.341709192080765,0.341709192080765,1.4033076048023876,5.94426424401445,2.5672573613339944,7.453986557920879
roi_vol_multiplier,0.9421577784649248,1.0341653429573399,-0.0920075644924151,-0.32341257361848963,0.32341257361848963,0.6729532024853913,1.1856789981356,0.8202943321924367,1.2521154964200942
woman_assisted_yrs,4.685146239656673,5.464259315490648,-0.7791130758339753,-0.2910536260148707,0.2910536260148707,2.7990639422523174,6.588430954201064,3.385993774510669,7.5484294467528485
overlap_lc_yrs,3.005887003473543,2.6340134361758945,0.37187356729764875,0.2591729435582402,0.2591729435582402,2.0862051384286664,4.087433948454111,1.310782115895179,3.7028578516029853
inflation_mean_shift,6.131421269630334e-06,-0.0006321357056620839,0.0006382671269317143,0.21725728102115427,0.21725728102115427,-0.0029560497504624,0.0027009477173656,-0.00329886535954765,0.0016202461371273998
man_assisted_yrs,5.166222869171784,4.604156765210474,0.5620661039613095,0.21001646670863142,0.21001646670863142,3.360002484686865,7.142640336618423,2.3533954219415527,6.829051203703316
man_independent_yrs,9.418188462172623,10.441337794572664,-1.0231493324000418,-0.16364313702957808,0.16364313702957808,3.4357114657248693,17.914434756388665,5.8111448758178765,14.913532989333945
combined_independent_yrs,18.795369937676977,19.945566176055816,-1.1501962383788396,-0.1358008767841148,0.1358008767841148,15.87949034319458,23.789854296482282,13.364643582271514,26.98514840829965
roi_mean_reversion,0.24072412728902318,0.258824298154437,-0.01810017086541385,-0.13431774213405315,0.13431774213405315,0.0982159119778759,0.3572750494136362,0.15890483332070793,0.3726918497977405
independent_split,0.041006986668267326,0.9371094130895045,-0.8961024264212372,-0.10907269861461642,0.10907269861461642,-8.876906237603448,11.789842558938888,-3.9832625034214426,5.345851650771612
inflation_mean_reversion,0.25694012562932445,0.27004535997223567,-0.01310523434291122,-0.08931398893235154,0.08931398893235154,0.1552985088422254,0.3726758091262721,0.1284515778045911,0.40247674831826824
roi_mean_shift,-0.0002160426453134788,-7.872954276402701e-05,-0.00013731310254945178,-0.023938205567895807,0.023938205567895807,-0.0060989762958728,0.0052701060715195,-0.0043744606898432,0.004588562762834375
woman_independent_yrs,9.377181475504354,9.50422838148316,-0.12704690597880486,-0.022995142963087113,0.022995142963087113,4.922842131030388,15.063080433827617,4.795652822612684,13.451874788705124
inflation_vol_multiplier,1.0322936589771783,1.0273050438684619,0.004988615108716399,0.017252570189877973,0.017252570189877973,0.7771728053948875,1.2990378773448843,0.8229308974166665,1.2488499366744723
